question_number,unit_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
29,Kanji to Hiragana,3,注文 ,ちゅうい,ちゅうし,ちゅうもく,ちゅうもん,D
30,Kanji to Hiragana,3,特急,とっきゅう,とくべつ,とくい,とくしゅう,A
31,Kanji to Hiragana,4,発音,はつめい,はつおん,はってん,はっしゃ,B
32,Kanji to Hiragana,4,注意,ちゅうしゃ,ちゅうし,ちゅうい,ちゅうもん,C
33,Kanji to Hiragana,4,明日,あさって,あしいた,あさごはん,あした,D
34,Kanji to Hiragana,4,安心,あんしん,あんぜん,あんない,あんき,A
35,Kanji to Hiragana,4,計画 ,けいさん,けいかく,けいけん,けいさつ,B
36,Kanji to Hiragana,4,計画運転,きようかいい,きょうんてと,きゅこううんてん,けいかくうんてん,D
37,Kanji to Hiragana,4,運転 ,うんどう,うんそう,うんてん,うんぱん,C
38,Kanji to Hiragana,4,お兄さん,おじいさん,おとうさん,おねえさん,おにいさん,D
39,Kanji to Hiragana,4,研究室 ,けんきゅうしつ,けんしゅうじょ,きょうしつ,こうぎしつ,A
40,Kanji to Hiragana,5,親切 ,しんぱい,しんせつ,しんせん,しんちょう,B
41,Kanji to Hiragana,5,近所 ,きんじょ,きんこ,きんし,きんえん,A
42,Kanji to Hiragana,5,社会 ,かいしゃ,じんじゃ,しゃかい,かいぎ,C
43,Kanji to Hiragana,5,間違えてもいいよ,まちがえてもいいよ,まにあわなくてもいいよ,まけてもいいよ,まよってもいいよ,A
44,Kanji to Hiragana,5,足るを知る,たるをしる,あしをしる,たるをわかる,あしを分かる,A
45,Kanji to Hiragana,5,うらやましい,おそろしい,うらやましい,はずかしい,あやしい,B
46,Kanji to Hiragana,5,ぬいぐるみ,ぬりえ,ぬの,ぬいぐるみ,ぬぎもの,C
47,Kanji to Hiragana,5,面接の時間,めいし,めいれ,めいさく,めんせつのじかん,D
48,Kanji to Hiragana,5,勘違いしていました,かんちがいしていました,かんしゃしていました,かんしんしていました,かんがえていました,A
49,Family Members,5,父,はは,ちち,あに,おじ,B
50,Family Members,6,母,あね,そぼ,はは,ちち,C
51,Family Members,6,兄,あに,おとうと,あね,むすこ,A
52,Family Members,6,姉,いもうと,あね,はは,そぼ,B
53,Family Members,6,弟,あに,むすこ,おとうと,いもうと,C
54,Family Members,6,妹,あね,いもうと,むすめ,そぼ,B
55,Family Members,6,祖父,ちち,おじ,おじいさん,そふ,D
56,Family Members,6,祖母,そぼ,おば,はは,おばあさん,A
57,Family Members,6,息子,むすめ,むすこ,おとうと,こども,B
58,Family Members,6,娘,むすこ,いもうと,むすめ,おんな,C
59,Family Members,6,叔父,おば,おじ,おとうと,むすこ,B
60,Family Members,7,叔母,おば,おじ,あね,むすめ,A
61,Family Members,7,孫,こども,むすこ,まご,いとこ,C
62,Family Members,7,夫,おっと,つま,ちち,むすこ,A
63,Family Members,7,妻,おっと,つま,はは,むすめ,B
64,Family Members,7,甥,めい,おい,いとこ,まご,B
65,Family Members,7,姪,めい,おい,いとこ,まご,A
66,Family Members,7,従兄弟,おじ,おば,いとこ,まご,C
67,Collocations,7,雨,が降る,が吹く,が射す,が出る,A
68,Collocations,7,雪,が降る,が吹く,が射す,が出る,A
69,Collocations,7,風,が降る,が吹く,が射す,が出る,B
70,Collocations,8,日差し,が降る,が吹く,が射す,が出る,C
71,Collocations,8,雲,が降る,が吹く,が射す,が出る,D
72,Collocations,8,(wash face ) 顔,を洗います,をとかします,を切ります,射す,A
73,Collocations,8,(comb hair) 髪,を洗います,をとかします,を切ります,射す,B
74,Collocations,8,(cut nails) 爪,を洗います,をとかします,を切ります,射す,C
75,Collocations,8,(wash hands) 手,を洗います,をとかします,を切ります,射す,A
76,Collocations,8,シャツを_____,着る,置く,する,履く,A
77,Collocations,8,コートを_____,着る,置く,する,履く,A
78,Collocations,8,靴を_____,被る,履く,する,置く,B
79,Collocations,8,靴下を______,被る,着る,履く,置く,C
80,Collocations,9,ズボンを________,被る,着る,する,履く,D
81,Collocations,9,眼鏡を_______,被る,着る,掛ける　（かかる）,する,C
82,Collocations,9,ネクタイを________,被る,締める,する,履く,B
83,Collocations,9,帽子を______,かぶる,着る,する,履く,A
84,Collocations,9,時計を_______,掛ける,する,着る,履く,B
85,Collocations,9,アクセサリーを_______,被る,着る,する,履く,C
86,Collocations,9,物を_____,被る,する,履く (haku),置く,D
87,Collocations,9,階段を（ ）,上る,登る,入る,乗る,a
88,Collocations,9,山に（ ）,上る,登る,出る,行く,b
89,Collocations,9,年を（ ）,食べる,取る,増える,なる,b
90,Collocations,10,風邪を（ ）,折る,壊す,引く,かかる,c
91,Collocations,10,熱が（ ）,出る,引く,出す,悪い,a
92,Collocations,10,雨が（ ）,来る,降る,吹く,落ちる,b
93,Collocations,10,雪が（ ）,降る,吹く,下がる,散る,a
94,Collocations,10,日が（ ）,降る,昇る,上がる,咲く,b
95,Collocations,10,日が（ ）,降る,消える,沈む,終わる,c
96,Collocations,10,事故に（ ）,会う,遭う,合う,見る,b
97,Collocations,10,約束を（ ）,持つ,守る,作る,使う,b
98,Collocations,10,約束を（ ）,壊す,破る,投げる,ある,b
99,Collocations,10,夢を（ ）,する,見る,寝る,考える,b
100,Collocations,11,夢を（ ）,叶える,作る,守る,運ぶ,a
101,Collocations,11,責任を（ ）,作る,取る,出す,もらう,b
102,Collocations,11,責任を（ ）,待つ,持つ,かかる,受ける,b
103,Collocations,11,興味を（ ）,取る,出す,持つ,覚える,c
104,Collocations,11,影響を（ ）,あげる,与える,伝える,送る,b
105,Collocations,11,影響を（ ）,取る,受ける,取る,出す,b
106,Collocations,11,注意を（ ）,出す,払う,投げる,見る,b
107,Collocations,11,勉強を（ ）,する,書く,読む,覚える,a
108,Collocations,11,運動を（ ）,作る,する,動く,走る,b
109,Collocations,11,仕事を（ ）,作る,働く,する,行く,c
110,Collocations,12,連絡を（ ）,する,あげる,送る,言う,a
111,Collocations,12,準備を（ ）,作る,揃える,する,待つ,c
112,Collocations,12,努力を（ ）,出す,する,持つ,作る,b
113,Collocations,12,経験を（ ）,積む,取る,作る,受ける,A
114,Collocations,12,ミスを（ ）,作る,犯す,する,出す,c
115,Collocations,12,約束を（ ）,言う,作る,する,持つ,c
116,Collocations,12,電話を（ ）,送る,かける,あげる,消す,b
117,Collocations,12,写真を（ ）,作る,撮る,映す,書く,b
118,Collocations,12,鍵を（ ）,入る,かける,閉まる,止める,b
119,Collocations,12,眼鏡を（ ）,被る,着る,履く,かける,d
120,Collocations,13,嘘を（ ）,する,つく,出す,作る,b
121,Collocations,13,息を（ ）,出す,する,作る,浴びる,b
122,Collocations,13,汗を（ ）,出す,かく,取る,浴びる,b
123,Collocations,13,声を（ ）,出す,言う,浴びる,鳴らす,a
124,Collocations,13,車に（ ）,気をつける,気にする,気がきく,気が変わる,a
125,Collocations,13,失敗を（ ）,気をつける,気にする,気がつく,気が合う,b
126,Collocations,13,ミスに（ ）,気がつく,気にする,気が合う,気を失う,a
127,Collocations,13,気が（ ）,動く,変わる,違う,直る,b
128,Collocations,13,お腹が（ ）,いい,空く,悪い,壊す,b
129,Collocations,13,喉が（ ）,空く,重い,渇く,出る,c
130,Collocations,13,頭が（ ）,空く,痛い,渇く,回る,b
131,Collocations,13,具合が（ ）,痛い,悪い,空く,出る,b
132,5 W's,14,___ が あなたの 先生ですか。 (Who is your teacher?),だれ,どれ,どこ,いつ,A
133,5 W's,14,___ も 休み（Yasumi）です。 (Everywhere is closed/on holiday.),いつ,どこ,どれ,いつ,B
134,5 W's,14,___ も 好き（Suki）です。 (I like all of them.),だれ,いつ,どれ,どこ,C
135,5 W's,14,___ が いいですか。 (When is [specifically] good?),だれ,どこ,どれ,いつ,D
136,5 W's,14,___ も 行きません。 (I'm going nowhere / not going anywhere.),どこ,いつ,だれ,どれ,A
137,5 W's,14,___ も おなじ（Onaji）です。 (Everything is the same.),だれ,どれ,どこ,いつ,B
138,5 W's,14,___ が 食べましたか。 (Who [specifically] ate it?),いつ,どれ,だれ,どこ,C
139,5 W's,14,___ も 寝ています（Neteimasu）。 (Everyone is sleeping.),いつ,どこ,どれ,だれ,D
140,5 W's,14, ___ も 忙しい（Isogashii）です。 (I am always busy.),いつ,どこ,だれ,どれ,A
141,5 W's,14, ___ が おいしいですか。 (Which one [specifically] is delicious?),どれ,どれ,いつ,だれ,B
142,5 W's,14,どれ ___ ありますか。 (Which one [specifically] is there?),が,も,を,は,A
143,5 W's,14,いつ ___ 忙（いそが）しいです。 (I am always busy.),で,も,を,に,B
144,5 W's,14,だれ ___ きましたか。 (Who [specifically] came?),で,も,が,の,C
145,5 W's,14,どこ ___ 行（い）きませんでした。 (I went nowhere.),で,が,を,も,D
146,5 W's,14,だれ ___ 答（こた）えられます。 (Anyone/Everyone can answer.),も,が,を,に,A
147,が　vs  も,15,"""Everyone is kind."" だれ ___ 親切（しんせつ）です。",が,も,,,B
148,が　vs  も,15,"""Who (specifically) is kind?""だれ ___ 親切ですか。",が,も,,,A
149,が　vs  も,15,"""Every one (all) of them is expensive."" どれ ___ 高（たか）いですね。",が,も,,,B
150,が　vs  も,15,"""Which one is expensive?"" どれ ___ 高いですか。",が,も,,,A
151,が　vs  も,15,"""Everywhere is quiet."" どこ ___ 静（しず）かです。",が,も,,,B
152,が　vs  も,15,"""Which place is quiet?"" どこ ___ 静かですか。",が,も,,,A
153,が　vs  も,15,"""I am always free."" いつ ___ 暇（ひま）です。",が,も,,,B
154,が　vs  も,15,"""When are you free?"" いつ ___ 暇ですか。",が,も,,,A
155,が　vs  も,15,"""Every classroom is clean."" どの 教室 ___ きれいですね。",が,も,,,B
156,が　vs  も,15,"""Which classroom is clean?"" どの 教室 ___ きれいですか。",が,も,,,A
157,Train Vocabulary,16,特急 (Limited Express),ときゅう,とっきゅう,どっきゅう,とっこう,B
158,Train Vocabulary,16,快速 (Rapid Train),かいそ,かいそく,がいそく,けいそく,B
159,Train Vocabulary,16,改札口 (Ticket Gate),かいさつこう,かいさつぐち,かいさつぐち,かいさつもん,C
160,Train Vocabulary,16,自由席 (Non-reserved),じゆうせき,しゆうせき,じゅうせき,じゆうぜき,A
161,Train Vocabulary,16,指定席 (Reserved Seat),じっていせき,しだいせき,していせき,していぜき,C
162,Train Vocabulary,16,終点 (Last Stop),しゅうて,しゅうてん,しゅてん,じゅうてん,B
163,Train Vocabulary,16,遅延 (Delay),ちえん,じえん,ぢえん,ちえい,A
164,Train Vocabulary,16,急行 (Express),きゅうこ,きゅうこう,ぎゅうこう,きょうこう,B
165,Train Vocabulary,16,乗り換え (Transfer),のりかわ,のりかえし,のりかえ,のりかい,C
166,Train Vocabulary,16,普通 (Local Train),ほうつう,ふつ,ふつう,ぷつう,C
167,Train Vocabulary,16,窓口 (Ticket Counter),まどくち,まどぐち,まどぐ,まどぐちえん,B
168,Train Vocabulary,17,精算機 (Fare Adjustment),せいさんきん,せいざんき,せいさんき,せいさんきかい,C
169,Train Vocabulary,17,まもなく (Shortly),まもなく,まもなくん,まうなく,まもなぐ,A
170,Train Vocabulary,17,発車します (Departing),はっさします,はっしゃします,はっしょします,ばっしゃします,B
171,Train Vocabulary,17,停車します (Stopping),ていしゃします,でいしゃします,ていざします,ていしゃしなす,A
172,Train Vocabulary,17,駆け込み乗車 (Rushing),かけこみじょうさん,かけこみじょしゃ,かけこみじょうしゃ,かけごみじょうしゃ,C
173,Train Vocabulary,17,人身事故 (Personal Accident),じんしんじご,じんしんじこ,にんしんじこ,ひとみじこ,B
174,Train Vocabulary,17,遅延証明書 (Delay Slip),ちえんしょうめいしょ,しえんしょうめいしょ,ちえんしょうめいそ,ちえんめいしょ,A
175,Train Vocabulary,17,新幹線 (Bullet Train),しんかんぜん,しんかぜん,しんかんせん,じんかんせん,C
176,Train Vocabulary,17,急行 (Express),きゅうこ,きょうこう,きゅうこう,ぎゅうこう,C
177,Train Vocabulary,17,改札口 (Ticket Gate),かいさつこう,かいさつぐち,かいさつぐ,かいさつもん,B
178,Train Vocabulary,17,切符売り場 (Ticket Area),きっぷりば,きぷうりば,きっぷうりば,きっぷうりは,C
179,Train Vocabulary,18,自由席 (Non-reserved),じゆうせき,しゆうせき,じゆうぜき,じゅうせき,A
180,Train Vocabulary,18,指定席 (Reserved Seat),していぜき,していせ,していせき,じっていせき,C
181,Train Vocabulary,18,乗り換え (Transfer),のりかわ,のりかい,のりかえ,のりかえし,C
182,Train Vocabulary,18,終点 (Last Stop),しゅてん,しゅうてん,じゅうてん,しゅうでん,B
183,Train Vocabulary,18,運転見合わせ (Suspended),うんてんみあわせ,うんてんみあわぜ,うんでんみあわせ,うんてんみあえ,A
184,Train Vocabulary,18,遅延 (Delay),ちえん,じえん,ちえい,ちえんし,A
185,Train Vocabulary,18,特急 (Limited Express),ときゅう,とっきゅう,どっきゅう,とっくう,B
186,Train Vocabulary,18,快速 (Rapid),かいそく,かいそ,けいそく,がいそく,A
187,Train Vocabulary,18,各駅停車 (Local),かくえきていしゃ,かくえきていしゃ,かくえきていさ,がくえきていしゃ,B
188,Vehicle,19,車両,しゃば,しゃりょう,くるま,りょうがえ,B
189,Vehicle,19,乗り物,たべもの,きもの,のりもの,のみもの,C
190,Vehicle,19,媒介物,ばいかいぶつ,はんかいぶつ,なかだち,ぶったい,A
191,Vehicle,19,車,くるま,しゃりょう,でんしゃ,じてんしゃ,A
192,Vehicle,19,電車,じどうしゃ,じてんしゃ,でんしゃ,きかんしゃ,C
193,Vehicle,19,バス,バス,タクシー,でんしゃ,モノレール,A
194,Transport,20,特急,せんしゅう,とっきゅう,きゅうこう,ふつう,B
195,Transport,20,各停,かくてい,かくち,ていしゃ,まんいん,A
196,Transport,20,踏切,ふみだい,いりぐち,ふみきり,とおせんぼ,C
197,Transport,20,方面,ほうほう,かためん,ほうめん,ほうこう,C
198,Transport,20,改札,かいさつ,けいさつ,かいせん,かんさつ,A
199,Transport,20,運賃,うんどう,うんてん,うんちん,きんぎん,C
200,Transport,20,優先席,ゆうせん,ゆうせんせき,よやくせき,じゆうせき,B
201,Transport,20,自転車,じどうしゃ,じてんしゃ,じどうき,じてん,B
202,Transport,20,自動車,じどうしゃ,じてんしゃ,でんしゃ,きどうしゃ,A
203,Transport,20,歩行者,うんてんしゅ,りょかく,ほこうしゃ,かんこうきゃく,C
204,Warning,21,立入禁止,ちゅうしゃきんし,きつえんきんし,たちいりきんし,しんにゅうきんし,C
205,Warning,21,放置禁止,ほうちきんし,ちゅうしゃきんし,ぽいすて,ごみすて,A
206,Warning,21,火気厳禁,かじげんきん,かきげんきん,ひあそび,かさい,B
207,Warning,21,不法投棄,ふほうしんにゅう,ふほうしょじ,ふほうとうき,ふほうしゅうし,C
208,Warning,21,徐行,とまれ,じょこう,ちゅうい,こうしん,B
209,Warning,21,進入禁止,つうこうどめ,ちゅうしゃきんし,しんにゅうきんし,でぐち,C
210,Warning,21,段差注意,つまずき,すべりどめ,だんさちゅうい,こうじちゅう,C
211,Warning,21,頭上注意,ずじょうちゅうい,あしもとちゅうい,ぜんぽうちゅうい,こうほう,A
212,Warning,22,足元注意,ずじょうちゅうい,あしもとちゅうい,みぎひだり,きけん,B
213,Warning,22,投棄禁止,ほうりきんし,らくがき,とうききんし,かききんし,C
214,Warning,22,公園内,こうえんがい,こうえんない,こうえんちゅう,こうえんまえ,B
215,Warning,22,禁煙,きんえん,きんし,えんりょ,かきげんきん,A
216,Warning,22,花火,はなびら,はなび,かび,かし,B
217,Warning,22,禁止,ちゅうい,きけん,きんし,むり,C
218,Warning,22,危ない,あぶない,きれい,きたない,すくない,A
219,Warning,22,駐輪禁止,ちゅうしゃきんし,たちいりきんし,ちゅうりんきんし,ぽいすてきんし,C
220,Place,23,注意,ちゅうい,ちゅうしゃ,じゅんび,ようじん,A
221,Place,23,非常口,でいりぐち,かいさつぐち,ひじょうぐち,かんこうぐち,C
222,Place,23,駐車場,ちゅうりんじょう,ちゅうしゃじょう,ていりゅうじょ,こうえん,B
223,Place,23,交番,こうばん,こうばん,こうしょ,けいさつ,B
224,Place,23,郵便局,ゆうびんきょく,やくしょ,ぎんこう,びょういん,A
225,Place,23,病院,がっこう,びよういん,びょういん,だいがく,C
226,Place,23,洗面所,おてあらい,といれ,せんめんじょ,おふろ,C
227,Place,23,案内所,あんないじょ,あんないにん,じむしょ,うけつけ,A
228,Place,23,停留所,えき,ていりゅうじょ,バスてい,バスおき,B
229,Place,23,事務所,じゅうしょ,じむしょ,ばしょ,やくしょ,B
230,Place,23,公園,がっこう,こうえん,びょういん,えき,B
231,Place,23,会社,ぎんこう,てんいん,かいしゃ,じむしょ,C
232,Place,23,駐輪,ちゅうしゃ,ちゅうりん,ていしゃ,じてんしゃ,B
233,Place,23,乗り場,のりかえ,のりば,おきば,いりぐち,B
234,New words,24,お世話（おせわ）になりました,Hello,Indebted/Helped,Excuse me,Goodbye,b
235,New words,24,電話を(掛けまして)かけまして,Received,Make/Call,Hanging up,Fixing,b
236,New words,24,（きっと）すぐ,Surely,Maybe,Never,Slowly,a
237,New words,24,（もう）終わった,Finally,Still,Already,Not yet,c
238,New words,24,（やっと）できた,Already,Finally,Still,Quickly,b
239,New words,24,電気を（つけて）,Turn off,Break,Turn on,Fix,c
240,New words,24,行く（つもり）だ,Fact,Reason,Experience,Plan/Intention,d
241,New words,24,（こと）がある,Fact/Thing,Time,Place,Person,a
242,New words,24,窓を(しめて）,Open,Close,Clean,Break,b
243,New words,24,鍵を（掛けて）かけて,Open,Buy,Lock,Lose,c
244,New words,25,日本の（人口）じんこう,Area,Weather,Population,Culture,c
245,New words,25,子供を（育てる）そだてる,Scold,Praise,Raise/Nurture,Feed,c
246,New words,25,それ(いがい）,Except/Besides,Inside,Outside,Above,a
247,New words,25,日本の（文化）ぶんか,History,Population,Culture,Art,c
248,New words,25,荷物を（届ける）とどける,Carry,Send/Deliver,Open,Buy,b
249,New words,25,窓の（枠）わく,Glass,Frame,Screen,Handle,b
250,New words,25,（床屋）とこやに行く,Pharmacy,Butcher,Barber,Bakery,c
251,New words,25,生徒を（褒める）ほめる,Scold,Praise,Hit,Teach,b
252,New words,25,（興味）きょうみがある,Hobby,Fear,Interest,Dream,c
253,New words,25,子供を（叱る）しかる,Praise,Feed,Scold,Love,c
254,New words,25,試合に（負ける)まける,Win,Lose,Join,Quit,b
255,New words,25,風邪を(ひく),Suffer/Be ill,Cure,Catch,Avoid,a
256,New words,26,店に（寄ってから）よってから,Leaving,Stop by,Staying away,Closing,b
257,New words,26,友達が（くれる）,Give (to me),Receive,Take,Ask,a
258,New words,26,理由を（尋ねる）たずねる,Tell,Inquire/Ask,Hide,Forget,b
259,New words,26,野球が（盛ん）さかん,Rare,Popular/Active,Boring,Difficult,b
260,New words,26,学校に（遅刻）ちこく　する,Be early,Be late,Graduate,Enter,b
261,New words,26,（留守）るす　を守る,Secret,House sitting,Promise,Rule,b
262,New words,26,部屋を（飾る）かざる,Clean,Decorate,Paint,Build,b
