question_number,grammar_ref,unit_number,section_number,question,choice_a,choice_b,choice_c,choice_d,answer
139,N5,ようび / Day of the week,N5: 13,木曜日:     : もくようび,木曜日,もくようび,Thursday,13,Thursday
140,N5,ようび / Day of the week,N5: 13,金曜日:     : きんようび,金曜日,きんようび,Friday,13,Friday
141,N5,ようび / Day of the week,N5: 13,土曜日:     : どようび,土曜日,どようび,Saturday,13,Saturday
142,N5,ようび / Day of the week,N5: 13,何曜日:     : なんようび,何曜日,なんようび,what day of the week,13,what day of the week
143,N5,ようび / Day of the week,N5: 13,今日:     : きょう,今日,きょう,today,13,today
144,N5,ようび / Day of the week,N5: 13,明日:     : あした,明日,あした,tomorrow,13,tomorrow
145,N5,ようび / Day of the week,N5: 13,昨日:     : きのう,昨日,きのう,yesterday,13,yesterday
146,N5,ようび / Day of the week,N5: 13,毎日:     : まいにち,毎日,まいにち,every day,13,every day
147,N5,ようび / Day of the week,N5: 14,～週間:     : ～しゅうかん,～週間,～しゅうかん,...weeks (duration),14,...weeks (duration)
148,N5,ようび / Day of the week,N5: 14,一週間:     : いっしゅうかん,一週間,いっしゅうかん,one week,14,one week
149,N5,ようび / Day of the week,N5: 14,二週間:     : にしゅうかん,二週間,にしゅうかん,two weeks,14,two weeks
150,N5,ようび / Day of the week,N5: 14,～か月:     : ～かげつ,～か月,～かげつ,...months (duration),14,...months (duration)
151,N5,ようび / Day of the week,N5: 14,一か月:     : いっかげつ,一か月,いっかげつ,one month,14,one month
152,N5,ようび / Day of the week,N5: 14,二か月:     : にかげつ,二か月,にかげつ,two months,14,two months
153,N5,ようび / Day of the week,N5: 14,～年:     : ～ねん,～年,～ねん,...years,14,...years
154,N5,ようび / Day of the week,N5: 14,一年:     : いちねん,一年,いちねん,one year,14,one year
155,N5,ようび / Day of the week,N5: 14,二年:     : にねん,二年,にねん,two years,14,two years
156,N5,ようび / Day of the week,N5: 14,～回:     : ～かい,～回,～かい,...times,14,...times
157,N5,ようび / Day of the week,N5: 14,一回:     : いっかい,一回,いっかい,once,14,once
158,N5,ようび / Day of the week,N5: 14,二回:     : にかい,二回,にかい,twice,14,twice
159,N5,ようび / Day of the week,N5: 14,何回:     : なんかい,何回,なんかい,how many times,14,how many times
160,N5,ようび / Day of the week,N5: 14,アルバイト（する）:     : アルバイト（する）,アルバイト（する）,アルバイト（する）,part-time job / to work part-time,14,part-time job / to work part-time
161,N5,ようび / Day of the week,N5: 14,する:     : する,する,する,to do,14,to do
162,N5,ことば / Words,N5: 15,言葉:     : ことば,言葉,ことば,word / language,15,word / language
163,N5,ことば / Words,N5: 15,字:     : じ,字,じ,character / letter,15,character / letter
164,N5,ことば / Words,N5: 15,日本語:     : にほんご,日本語,にほんご,Japanese language,15,Japanese language
165,N5,ことば / Words,N5: 15,～語:     : ～ご,～語,～ご,...language,15,...language
166,N5,ことば / Words,N5: 15,英語:     : えいご,英語,えいご,English,15,English
167,N5,ことば / Words,N5: 15,スペイン語:     : スペインご,スペイン語,スペインご,Spanish,15,Spanish
168,N5,ことば / Words,N5: 15,ドイツ語:     : ドイツご,ドイツ語,ドイツご,German,15,German
169,N5,ことば / Words,N5: 15,話す:     : はなす,話す,はなす,to speak,15,to speak
170,N5,ことば / Words,N5: 15,ゆっくり:     : ゆっくり,ゆっくり,ゆっくり,slowly,15,slowly
171,N5,ことば / Words,N5: 15,言う:     : いう,言う,いう,to say,15,to say
172,N5,ことば / Words,N5: 15,もう一度:     : もういちど,もう一度,もういちど,once more / again,15,once more / again
173,N5,ことば / Words,N5: 15,お願いします:     : おねがいします,お願いします,おねがいします,please,15,please
174,N5,ことば / Words,N5: 16,分かる:     : わかる,分かる,わかる,to understand,16,to understand
175,N5,ことば / Words,N5: 16,少し:     : すこし,少し,すこし,a little,16,a little
176,N5,ことば / Words,N5: 16,もう少し:     : もうすこし,もう少し,もうすこし,a little more,16,a little more
177,N5,ことば / Words,N5: 16,よく:     : よく,よく,よく,well / often,16,well / often
178,N5,ことば / Words,N5: 16,だいたい:     : だいたい,だいたい,だいたい,mostly / approximately,16,mostly / approximately
179,N5,ことば / Words,N5: 16,全然:     : ぜんぜん,全然,ぜんぜん,not at all (with neg.),16,not at all (with neg.)
180,N5,ことば / Words,N5: 16,ひらがな:     : ひらがな,ひらがな,ひらがな,hiragana,16,hiragana
181,N5,ことば / Words,N5: 16,カタカナ:     : カタカナ,カタカナ,カタカナ,katakana,16,katakana
182,N5,ことば / Words,N5: 16,漢字:     : かんじ,漢字,かんじ,kanji,16,kanji
183,N5,ことば / Words,N5: 16,ローマ字:     : ローマじ,ローマ字,ローマじ,roman letters,16,roman letters
184,N5,べんきょう / Study,N5: 17,読む:     : よむ,読む,よむ,to read,17,to read
185,N5,べんきょう / Study,N5: 17,本:     : ほん,本,ほん,book,17,book
186,N5,べんきょう / Study,N5: 17,書く:     : かく,書く,かく,to write,17,to write
187,N5,べんきょう / Study,N5: 17,聞く:     : きく,聞く,きく,to listen / ask,17,to listen / ask
188,N5,べんきょう / Study,N5: 17,CD:     : シーディー,CD,シーディー,CD,17,CD
189,N5,べんきょう / Study,N5: 17,調べる:     : しらべる,調べる,しらべる,to check / look up,17,to check / look up
190,N5,べんきょう / Study,N5: 17,買う:     : かう,買う,かう,to buy,17,to buy
191,N5,べんきょう / Study,N5: 17,辞書:     : じしょ,辞書,じしょ,dictionary,17,dictionary
192,N5,べんきょう / Study,N5: 17,電子辞書:     : でんしじしょ,電子辞書,でんしじしょ,electronic dictionary,17,electronic dictionary
193,N5,べんきょう / Study,N5: 17,意味:     : いみ,意味,いみ,meaning,17,meaning
194,N5,べんきょう / Study,N5: 17,頑張る:     : がんばる,頑張る,がんばる,to do one’s best,17,to do one’s best
195,N5,べんきょう / Study,N5: 17,宿題:     : しゅくだい,宿題,しゅくだい,homework,17,homework
196,N5,べんきょう / Study,N5: 18,日記:     : にっき,日記,にっき,diary,18,diary
197,N5,べんきょう / Study,N5: 18,レポート:     : レポート,レポート,レポート,report,18,report
198,N5,べんきょう / Study,N5: 18,図書館:     : としょかん,図書館,としょかん,library,18,library
199,N5,べんきょう / Study,N5: 18,本屋:     : ほんや,本屋,ほんや,bookstore,18,bookstore
200,N5,べんきょう / Study,N5: 18,本屋さん:     : ほんやさん,本屋さん,ほんやさん,(polite) bookstore,18,(polite) bookstore
201,N5,べんきょう / Study,N5: 18,練習（する）:     : れんしゅう（する）,練習（する）,れんしゅう（する）,to practice,18,to practice
202,N5,べんきょう / Study,N5: 18,スピーチ:     : スピーチ,スピーチ,スピーチ,speech,18,speech
203,N5,べんきょう / Study,N5: 18,覚える:     : おぼえる,覚える,おぼえる,to memorize,18,to memorize
204,N5,べんきょう / Study,N5: 18,忘れる:     : わすれる,忘れる,わすれる,to forget,18,to forget
205,N5,べんきょう / Study,N5: 18,問題:     : もんだい,問題,もんだい,question / problem,18,question / problem
206,N5,べんきょう / Study,N5: 18,例:     : れい,例,れい,example,18,example
207,N5,べんきょう / Study,N5: 18,答え:     : こたえ,答え,こたえ,answer,18,answer
208,N5,べんきょう / Study,N5: 18,質問（する）:     : しつもん（する）,質問（する）,しつもん（する）,to ask a question,18,to ask a question
209,N5,べんきょう / Study,N5: 18,見学（する）:     : けんがく（する）,見学（する）,けんがく（する）,to visit / observe,18,to visit / observe
210,N5,はたらく / To work,N5: 19,会社:     : かいしゃ,会社,かいしゃ,company,19,company
211,N5,はたらく / To work,N5: 19,銀行:     : ぎんこう,銀行,ぎんこう,bank,19,bank
212,N5,はたらく / To work,N5: 19,働く:     : はたらく,働く,はたらく,to work,19,to work
213,N5,はたらく / To work,N5: 19,休む:     : やすむ,休む,やすむ,to rest / take a day off,19,to rest / take a day off
214,N5,はたらく / To work,N5: 19,休み:     : やすみ,休み,やすみ,holiday / break,19,holiday / break
215,N5,はたらく / To work,N5: 19,昼休み:     : ひるやすみ,昼休み,ひるやすみ,lunch break,19,lunch break
216,N5,はたらく / To work,N5: 19,暇な:     : ひまな,暇な,ひまな,free / not busy,19,free / not busy
217,N5,はたらく / To work,N5: 19,忙しい:     : いそがしい,忙しい,いそがしい,busy,19,busy
218,N5,はたらく / To work,N5: 19,残業（する）:     : ざんぎょう（する）,残業（する）,ざんぎょう（する）,(to) work overtime,19,(to) work overtime
219,N5,はたらく / To work,N5: 19,出張（する）:     : しゅっちょう（する）,出張（する）,しゅっちょう（する）,(to) go on a business trip,19,(to) go on a business trip
220,N5,はたらく / To work,N5: 19,事務所:     : じむしょ,事務所,じむしょ,office,19,office
221,N5,はたらく / To work,N5: 20,工場:     : こうじょう,工場,こうじょう,factory,20,factory
222,N5,はたらく / To work,N5: 20,受付:     : うけつけ,受付,うけつけ,reception,20,reception
223,N5,はたらく / To work,N5: 20,会議:     : かいぎ,会議,かいぎ,meeting,20,meeting
224,N5,はたらく / To work,N5: 20,会議室:     : かいぎしつ,会議室,かいぎしつ,meeting room,20,meeting room
225,N5,はたらく / To work,N5: 20,電話:     : でんわ,電話,でんわ,telephone,20,telephone
226,N5,はたらく / To work,N5: 20,電話をかける:     : でんわをかける,電話をかける,でんわをかける,to make a phone call,20,to make a phone call
227,N5,はたらく / To work,N5: 20,もしもし:     : もしもし,もしもし,もしもし,hello (on the phone),20,hello (on the phone)
228,N5,はたらく / To work,N5: 20,電話番号:     : でんわばんごう,電話番号,でんわばんごう,phone number,20,phone number
229,N5,はたらく / To work,N5: 20,知る:     : しる,知る,しる,to know,20,to know
230,N5,はたらく / To work,N5: 20,何番:     : なんばん,何番,なんばん,what number,20,what number
231,N5,はたらく / To work,N5: 20,教える:     : おしえる,教える,おしえる,to teach / tell,20,to teach / tell
232,N5,はたらく / To work,N5: 20,手伝う:     : てつだう,手伝う,てつだう,to help,20,to help
233,N5,はたらく / To work,N5: 20,作る:     : つくる,作る,つくる,to make,20,to make
234,N5,はたらく / To work,N5: 21,役に立つ:     : やくにたつ,役に立つ,やくにたつ,to be useful,21,to be useful
235,N5,はたらく / To work,N5: 21,仕事:     : しごと,仕事,しごと,job / work,21,job / work
236,N5,はたらく / To work,N5: 21,会社員:     : かいしゃいん,会社員,かいしゃいん,office worker,21,office worker
237,N5,はたらく / To work,N5: 21,銀行員:     : ぎんこういん,銀行員,ぎんこういん,bank clerk,21,bank clerk
238,N5,はたらく / To work,N5: 21,医者:     : いしゃ,医者,いしゃ,doctor,21,doctor
239,N5,はたらく / To work,N5: 21,お医者さん:     : おいしゃさん,お医者さん,おいしゃさん,(polite) doctor,21,(polite) doctor
240,N5,はたらく / To work,N5: 21,看護師:     : かんごし,看護師,かんごし,nurse,21,nurse
241,N5,はたらく / To work,N5: 21,看護師さん:     : かんごしさん,看護師さん,かんごしさん,(polite) nurse,21,(polite) nurse
242,N5,はたらく / To work,N5: 21,介護士:     : かいごし,介護士,かいごし,care worker,21,care worker
243,N5,はたらく / To work,N5: 21,介護士さん:     : かいごしさん,介護士さん,かいごしさん,(polite) care worker,21,(polite) care worker
244,N5,はたらく / To work,N5: 21,警察官:     : けいさつかん,警察官,けいさつかん,police officer,21,police officer
245,N5,はたらく / To work,N5: 21,おまわりさん:     : おまわりさん,おまわりさん,おまわりさん,(friendly term for) police officer,21,(friendly term for) police officer
246,N5,はたらく / To work,N5: 22,駅員:     : えきいん,駅員,えきいん,station staff,22,station staff
247,N5,はたらく / To work,N5: 22,駅員さん:     : えきいんさん,駅員さん,えきいんさん,(polite) station staff,22,(polite) station staff
248,N5,はたらく / To work,N5: 22,運転手:     : うんてんしゅ,運転手,うんてんしゅ,driver,22,driver
249,N5,はたらく / To work,N5: 22,運転手さん:     : うんてんしゅさん,運転手さん,うんてんしゅさん,(polite) driver,22,(polite) driver
250,N5,はたらく / To work,N5: 22,社長:     : しゃちょう,社長,しゃちょう,company president,22,company president
251,N5,はたらく / To work,N5: 22,部長:     : ぶちょう,部長,ぶちょう,department manager,22,department manager
252,N5,はたらく / To work,N5: 22,課長:     : かちょう,課長,かちょう,section manager,22,section manager
253,N5,はたらく / To work,N5: 22,社員:     : しゃいん,社員,しゃいん,company employee,22,company employee
254,N5,これはなんですか / What is this?,N5: 23,これ:     : これ,これ,これ,this (thing near me),23,this (thing near me)
255,N5,これはなんですか / What is this?,N5: 23,それ:     : それ,それ,それ,that (thing near you),23,that (thing near you)
256,N5,これはなんですか / What is this?,N5: 23,あれ:     : あれ,あれ,あれ,that (thing over there),23,that (thing over there)
257,N5,これはなんですか / What is this?,N5: 23,どれ:     : どれ,どれ,どれ,which (thing),23,which (thing)
258,N5,これはなんですか / What is this?,N5: 23,この:     : この,この,この,this (＋noun),23,this (＋noun)
259,N5,これはなんですか / What is this?,N5: 23,その:     : その,その,その,that (＋noun),23,that (＋noun)
